B.subtilis,E.coli,S.aureus,S.enterica,V.harvey_1,V.harvey_2
0.0017715035385426382,0.0010301934604949727,0.0018907684781164882,0.0014446597490746574,0.002254638631907663,0.002966136768965581
0.002255817126930204,0.0021837119327291054,0.0009008093928119496,0.00017884304802883613,0.0037468384510248166,0.003121311991735304
0.0017697882061331693,0.0012515126266701769,0.0036972962792220735,9.943394321957819e-05,0.002041206914790564,0.001714757441619391
0.001446179588962343,0.0016660547926180616,0.0012101641139747122,3.605601960499596e-06,0.0010273863891322533,0.0014785285190522914
0.0012348353876952738,0.0017355904425403587,0.0024758741014989844,9.20273690530635e-05,0.0014155253344426083,0.0025722162231906656
0.000689409017462494,0.002416783410357057,0.0017039612830892052,2.344323576888954e-07,0.0010857054235689704,0.0014814271182508713
0.001727207666639951,0.0015895317887414432,0.0013775438171809871,2.389844434427964e-05,0.0012163172388774798,0.000632986663801965
0.0020193206804204533,0.0014523700400552726,0.002019866375526094,0.0007522863658077601,0.00161132651122446,0.0014874703659414528
0.0028641784401544006,0.0014014464361746862,0.00044053797571115116,3.5918049951623755e-07,0.00038346452491793244,0.000996793546274908
0.0005233433161335768,0.0013427632253094255,0.002215297265989162,3.0508598571181976e-05,0.0013925700945760248,0.0013024884234401793
0.0020633659771199598,0.0010591761171780583,0.001777689084631501,9.560845440725464e-06,0.0025021862689454753,0.003629788847656329
0.0014899595154990888,0.0016035887983242324,0.0019455543896564984,8.687716916364998e-06,0.0016927223191088067,0.001177058212353346
0.0008222157346916996,0.0011007417035717982,0.0013350170471477956,0.0002908776459026663,0.0026669159143847187,0.0022417524991452643
0.0008194200586771404,0.001094488875261003,0.0015492919939382689,4.6950058941162115e-07,0.0013556841756039782,0.0028693968922706486
0.0005318824280449192,0.0006949138307869476,0.001842639470764172,1.8752457561953624e-05,0.0028312505547546506,0.0021381377052516227
0.0021293010015140616,0.0011782822963740335,0.0014476961568988392,0.0016401073278970411,0.0023258011123429693,0.002951184555893541
0.0020628146473227536,0.0019221180489720935,0.0011547833720834556,0.0016943582126519138,0.0025128027851550137,0.002591155777155583
0.002176003243785974,0.0018939573160243572,0.0029196673105543764,0.0009719155214961819,0.00105723844728619,0.0018878165919323452
0.0012656877269897754,0.0003456085848763402,0.0020152965458752406,0.00195020895414524,0.003757401569161921,0.001979681471762711
0.0023074725805668135,0.0015781106551716016,0.0012078882911247728,0.001301166413585542,0.0017388269229719191,0.002097609663019876
0.000945848304315807,0.0018282939439609141,0.0015341094633333657,0.0015618712623276661,0.002107343042017922,0.0014655377286563777
0.002507060653854391,0.0016212469257707324,0.002303652855663026,2.0717483021056492e-06,0.000829122086694008,0.00046742951860201295
0.0028019628647070584,0.0028518786611013975,0.0035208014817897687,0.00015760793578214728,0.0022678296808114617,0.002872832777266726
0.0012850633493966793,0.0011649143247924542,0.000800670799712272,2.449778986094996e-06,0.00230875924407868,0.0030518517471607182
0.0013739887402445894,0.002497097780184993,0.003079389282691916,0.0011383737348579896,0.0016262562388416372,0.0021530486479905877
0.0021867766901405745,0.0010082780985726113,0.002148973470358438,6.250754897988254e-06,0.001140385155729641,0.0011714478778393292
0.0014256915884025797,0.0019534996169908907,0.003560212230098932,0.00011063406767616228,0.002307091008207368,0.0015075350396885259
0.002107411196167166,0.0019807711248388407,0.0012068340286012864,3.778955027501003e-07,0.0017617856015837256,0.0005258162927155094
0.0009318554063156272,0.0009184519837006147,0.0010152750693695925,1.2083988062924924e-06,0.0010711083575520787,0.0024395432600926577
0.0021170844343817103,0.0005231319312196364,0.0011737905522449998,7.139994929811733e-06,0.002317160970243531,0.0018719392394495424
0.0028355936719518912,0.0020585850016536385,0.0031563387993075805,0.001055307878634614,0.003690845486353992,0.0032049448690603336
0.0014818936146682418,0.0013971347038543385,0.001134165890851867,0.001099770085931862,0.0020803668701021164,0.0031963292113034447
0.0017668434247708072,0.0015477016687650766,0.0015172922192225305,1.0087274143524752e-05,0.001681509608916058,0.000516998276079963
0.0019457689774633998,0.002559593798756551,0.003125217603350816,0.0013683226746645705,0.003720819351276429,0.004721397406769453
0.0009628742567965631,0.0011298070593109583,0.0023364784801646883,5.545520758162183e-05,0.0009653991245096043,0.002637492261251664
0.002792071128658815,0.000641230519310707,0.0045147966770825426,0.0001873792803307051,0.0029540362854696854,0.0029988630225456347
