epoch,accuracy,loss,val_accuracy,val_loss
0,0.909019947052002,0.2050049751996994,0.9503227472305298,0.12158557027578354
1,0.961906909942627,0.09680008143186569,0.9698506593704224,0.07762540131807327
2,0.9751226902008057,0.06647706776857376,0.9762325882911682,0.06294088810682297
3,0.981530487537384,0.050942808389663696,0.9806676506996155,0.05253502354025841
4,0.9853395223617554,0.04130857065320015,0.9831694960594177,0.04783525690436363
5,0.9878560304641724,0.03474874049425125,0.9842202663421631,0.045870520174503326
6,0.9897221326828003,0.029749594628810883,0.9866447448730469,0.03893158957362175
7,0.9910820722579956,0.025910891592502594,0.9872452020645142,0.03880017250776291
8,0.9921579957008362,0.022822463884949684,0.9879275560379028,0.03646961972117424
9,0.9930523633956909,0.020280273631215096,0.9868403673171997,0.039072904735803604
10,0.9937704205513,0.018080580979585648,0.9884369969367981,0.03634573891758919
11,0.9944014549255371,0.01622658409178257,0.9887235760688782,0.036393824964761734
