epoch,accuracy,loss,val_accuracy,val_loss
0,0.9189480543136597,0.18287311494350433,0.9521799683570862,0.114503875374794
1,0.9640421867370605,0.0894649550318718,0.9705172181129456,0.07569120079278946
2,0.9760390520095825,0.06264752894639969,0.9781550765037537,0.05817132443189621
3,0.9819301962852478,0.0487702302634716,0.981756329536438,0.05013113468885422
4,0.9853821396827698,0.04030114412307739,0.9827708601951599,0.04859212040901184
5,0.9875136017799377,0.034850168973207474,0.985573410987854,0.040088582783937454
6,0.9889892339706421,0.031022952869534492,0.9861706495285034,0.040416181087493896
7,0.9899899363517761,0.028353208675980568,0.9861346483230591,0.03901116922497749
8,0.9907726645469666,0.02623133175075054,0.9877859950065613,0.03642963618040085
9,0.991731584072113,0.02372216433286667,0.9881097674369812,0.03563130274415016
10,0.9920854568481445,0.022666234523057938,0.9886422157287598,0.03489701449871063
11,0.9924169182777405,0.021744724363088608,0.9881313443183899,0.04036528617143631
12,0.9929339289665222,0.020319391041994095,0.988976776599884,0.03406383469700813
13,0.9931778311729431,0.019639765843749046,0.9882500767707825,0.034804798662662506
14,0.9932430982589722,0.0194792989641428,0.9897179007530212,0.03277938812971115
15,0.9937015771865845,0.01810678094625473,0.9879766702651978,0.03647369518876076
16,0.9934980869293213,0.018712325021624565,0.9896243810653687,0.033363692462444305
