epoch,accuracy,loss,val_accuracy,val_loss
0,0.9199047684669495,0.18048100173473358,0.9417514204978943,0.1473243534564972
1,0.9628376960754395,0.0913812667131424,0.9672005772590637,0.08181726932525635
2,0.9746336340904236,0.06507281213998795,0.97532719373703,0.06471898406744003
3,0.9805986881256104,0.051339615136384964,0.9790005683898926,0.05783015489578247
4,0.9842135310173035,0.042744096368551254,0.9817741513252258,0.04997621104121208
5,0.9866422414779663,0.03678961843252182,0.9829456806182861,0.047441598027944565
6,0.9883597493171692,0.03233006224036217,0.9853628873825073,0.04202992096543312
7,0.98978191614151,0.028646089136600494,0.9855639934539795,0.04093439504504204
8,0.9907987713813782,0.02591937594115734,0.9856204986572266,0.04399203136563301
9,0.9917579889297485,0.023293858394026756,0.9869437217712402,0.04034629091620445
10,0.9925257563591003,0.02115252986550331,0.9872825145721436,0.039236538112163544
11,0.9931214451789856,0.019422074779868126,0.9873530864715576,0.0392681360244751
12,0.9936549067497253,0.017984747886657715,0.9869190454483032,0.04245080426335335
13,0.9941661953926086,0.016461985185742378,0.9874130487442017,0.0420115701854229
14,0.9946298003196716,0.015133491717278957,0.9877306222915649,0.03999326005578041
15,0.9949915409088135,0.014094289392232895,0.9881611466407776,0.04086814075708389
