epoch,accuracy,loss,val_accuracy,val_loss
0,0.9191027283668518,0.1816222071647644,0.9475366473197937,0.12152354419231415
1,0.9580608010292053,0.09839712828397751,0.962337076663971,0.08983989804983139
2,0.970436692237854,0.07190651446580887,0.9717614650726318,0.06965848058462143
3,0.9771507978439331,0.05728018656373024,0.9763374328613281,0.05926214158535004
4,0.9812548160552979,0.04793834686279297,0.9764455556869507,0.06002177298069
5,0.9841400384902954,0.04120761528611183,0.9806755185127258,0.04952428489923477
6,0.9862804412841797,0.036138154566287994,0.9816140532493591,0.04942260682582855
7,0.9879559874534607,0.031998440623283386,0.9827255606651306,0.04816616699099541
8,0.9892752766609192,0.028685668483376503,0.9836122393608093,0.046916522085666656
9,0.990445077419281,0.025779081508517265,0.9842696189880371,0.0434616319835186
10,0.9913632273674011,0.023279139772057533,0.9836987257003784,0.04514698311686516
11,0.9921810626983643,0.02109137922525406,0.9851000905036926,0.04365828260779381
12,0.9928722381591797,0.01926024816930294,0.9852687120437622,0.04482591897249222
13,0.9934600591659546,0.017653556540608406,0.9853249788284302,0.04546355828642845
14,0.9940453767776489,0.01613725908100605,0.9848016500473022,0.04879148676991463
15,0.9944533705711365,0.01494703907519579,0.9856623411178589,0.04654931277036667
16,0.9948944449424744,0.013767111115157604,0.9854979515075684,0.04857558012008667
17,0.9952380657196045,0.012821096926927567,0.9853898286819458,0.05051243677735329
18,0.9955357313156128,0.012003558687865734,0.9855498671531677,0.049198217689991
19,0.995822012424469,0.011237614788115025,0.9856882691383362,0.051415830850601196
20,0.9960716366767883,0.010529762133955956,0.9853725433349609,0.05748249217867851
21,0.9962901473045349,0.009951101616024971,0.9859347939491272,0.058003414422273636
22,0.9964402914047241,0.00949704460799694,0.9862332344055176,0.053375955671072006
