epoch,accuracy,loss,val_accuracy,val_loss
0,0.9281846880912781,0.16189585626125336,0.949887216091156,0.11816856265068054
1,0.96653813123703,0.08167929947376251,0.9707373380661011,0.07339441776275635
2,0.977623701095581,0.05710320547223091,0.9779373407363892,0.057324834167957306
3,0.9833210706710815,0.04396962746977806,0.9814936518669128,0.05057988315820694
4,0.9868181347846985,0.035623714327812195,0.98476243019104,0.04172602295875549
5,0.9891877770423889,0.02964898757636547,0.9845436811447144,0.04534824937582016
6,0.9908774495124817,0.02529826946556568,0.987062394618988,0.03657854348421097
7,0.9922016263008118,0.02181456796824932,0.9875124096870422,0.03675268217921257
8,0.9932817220687866,0.01894163340330124,0.9884374141693115,0.03427054360508919
9,0.9940639138221741,0.01662563346326351,0.9887811541557312,0.033414315432310104
10,0.9947665929794312,0.014688625000417233,0.988918662071228,0.03515636548399925
11,0.9953435659408569,0.013067170977592468,0.9895249605178833,0.032811082899570465
12,0.9958222508430481,0.011672989465296268,0.9894999265670776,0.037618398666381836
13,0.9962275624275208,0.010569583624601364,0.9895124435424805,0.03759605437517166
14,0.9965658187866211,0.009555183351039886,0.9892311692237854,0.03736886754631996
15,0.9968441724777222,0.008718112483620644,0.9897249341011047,0.03624079003930092
16,0.9970815777778625,0.008083101361989975,0.989687442779541,0.040082965046167374
17,0.9972785115242004,0.0075118872337043285,0.9901437163352966,0.03881482407450676
18,0.9974664449691772,0.007005804218351841,0.989224910736084,0.04031693935394287
19,0.997618556022644,0.006569719407707453,0.9903311729431152,0.0375993512570858
20,0.9977502226829529,0.00625036982819438,0.9900311827659607,0.03994152694940567
21,0.9978746771812439,0.005885675083845854,0.9900186657905579,0.04044606164097786
22,0.9979777336120605,0.005580128636211157,0.9901812076568604,0.041243892163038254
23,0.9980899691581726,0.0053193653002381325,0.9906436800956726,0.039513058960437775
24,0.9981836676597595,0.005065648816525936,0.99052494764328,0.04198458790779114
25,0.9982279539108276,0.004923806060105562,0.9907124638557434,0.041791073977947235
26,0.9983197450637817,0.004674112889915705,0.990399956703186,0.03785068169236183
27,0.9983780384063721,0.00453295698389411,0.9903749227523804,0.04192398115992546
28,0.9984197616577148,0.004355994053184986,0.9906811714172363,0.03912193700671196
29,0.9984992742538452,0.004187240730971098,0.9909124374389648,0.03844146430492401
